ID,Nota_Lingua,Nota_Matematica,Nota_Conhecimento,Media_Final,Posicao
19106791,100.00,79.22,59.86,79.69,1
19114556,70.41,54.82,89.96,71.73,2
19103517,70.92,74.40,63.44,69.59,3
19105728,87.50,62.05,58.42,69.32,4
19115689,69.64,74.10,63.80,69.18,5
19129103,95.41,70.48,40.14,68.68,6
19112131,62.76,70.48,65.59,66.28,7
19122790,62.76,57.23,68.82,62.93,8
19126208,77.81,76.81,33.69,62.77,9
19121331,71.94,51.20,57.35,60.16,10
19123427,82.14,52.11,44.80,59.68,11
19106620,73.72,80.72,24.37,59.61,12
19105062,62.76,48.80,66.31,59.29,13
19105711,92.09,47.29,36.56,58.65,14
19119438,95.41,49.70,23.66,56.25,15
19102373,89.80,47.29,31.54,56.21,16
19119170,58.67,65.66,41.22,55.18,17
19135157,71.94,69.28,19.35,53.52,18
19117461,73.21,69.58,17.20,53.33,19
19116714,51.53,81.63,26.52,53.23,20
19103090,53.57,59.94,44.80,52.77,21
19126120,88.01,57.23,12.90,52.71,22
19114958,66.07,55.12,36.56,52.58,23
19114214,17.60,70.48,68.10,52.06,24
19126399,68.62,51.20,36.20,52.01,25
19120525,70.15,28.01,57.35,51.84,26
19116709,69.90,36.75,48.39,51.68,27
19116814,73.47,47.59,33.69,51.58,28
19113343,43.88,47.29,62.72,51.30,29
19140452,66.07,35.54,50.90,50.84,30
19124017,58.42,68.37,23.30,50.03,31
19103542,58.16,34.34,57.35,49.95,32
19118120,59.18,46.39,40.50,48.69,33
19133908,65.56,36.75,43.73,48.68,34
19107503,42.09,54.82,49.10,48.67,35
19141025,66.33,43.98,33.69,48.00,36
19115754,52.55,52.11,39.07,47.91,37
19132724,55.36,61.45,26.88,47.89,38
19117332,43.37,69.58,30.11,47.68,39
19140884,52.55,47.29,43.01,47.62,40
19125240,36.48,71.99,27.60,45.36,41
19122762,67.86,34.34,33.69,45.30,42
19116784,42.09,65.66,27.60,45.12,43
19118324,52.55,59.34,19.35,43.75,44
19133661,65.56,38.86,26.16,43.53,45
19112570,48.98,29.22,51.61,43.27,46
19122304,40.82,62.05,25.81,42.89,47
19118371,50.26,61.14,17.20,42.87,48
19102985,63.27,56.02,8.96,42.75,49
19100817,45.66,74.10,8.24,42.67,50
19128209,64.03,47.29,14.34,41.89,51
19127988,40.82,54.82,20.43,38.69,52
19130650,39.29,34.04,42.65,38.66,53
19126246,41.33,47.29,26.16,38.26,54
19127996,58.16,47.29,8.96,38.14,55
19114070,43.62,12.65,57.35,37.87,56
19109852,29.85,52.11,31.54,37.83,57
19107730,10.20,74.10,28.32,37.54,58
19138244,69.64,31.93,8.96,36.84,59
19111149,36.48,41.27,32.26,36.67,60
19102401,21.94,53.61,34.41,36.65,61
19141069,24.74,55.12,25.81,35.22,62
19122386,47.96,34.34,23.30,35.20,63
19104835,33.42,70.48,0.00,34.63,64
19124080,27.55,46.39,26.16,33.37,65
19131701,39.03,29.22,31.54,33.26,66
19133667,40.82,29.22,28.32,32.78,67
19138794,14.54,69.28,14.34,32.72,68
19122753,33.42,47.29,17.20,32.64,69
19115834,49.49,41.27,6.45,32.40,70
19138986,17.35,41.57,37.63,32.18,71
19123834,29.85,29.22,36.56,31.87,72
19123993,40.05,36.75,15.41,30.74,73
19112055,24.74,29.22,37.63,30.53,74
19135104,16.07,39.16,34.77,30.00,75
19105830,7.40,40.36,41.94,29.90,76
19144890,25.77,29.22,33.69,29.56,77
19117285,28.83,40.36,19.35,29.51,78
19136088,26.02,47.29,14.70,29.33,79
19109908,27.55,18.07,41.94,29.19,80
19106769,10.46,62.35,14.34,29.05,81
19112022,10.46,41.27,33.69,28.47,82
19138670,26.02,36.75,19.35,27.37,83
19102232,26.02,36.75,19.35,27.37,84
19142268,22.45,39.16,20.43,27.35,85
19108221,14.54,57.23,8.96,26.91,86
19131294,32.14,9.94,36.56,26.21,87
19103204,17.35,29.22,31.90,26.15,88
19115912,27.81,39.16,8.96,25.31,89
19110101,10.20,43.98,21.15,25.11,90
19141504,7.91,18.07,49.10,25.03,91
19111326,19.39,41.27,14.34,25.00,92
19110974,44.90,29.52,0.00,24.81,93
19144732,39.29,7.53,25.81,24.21,94
19112822,33.42,29.22,8.96,23.87,95
19114293,11.48,53.61,6.45,23.85,96
19128125,0.00,29.22,39.78,23.00,97
19132630,16.07,29.22,23.30,22.86,98
19106842,17.35,29.22,21.15,22.57,99
19129035,33.42,24.40,8.96,22.26,100
19142724,4.59,29.22,32.26,22.02,101
19143699,51.28,14.16,0.00,21.81,102
19105513,26.28,29.22,8.96,21.48,103
19113535,28.83,22.89,8.96,20.23,104
19129725,17.35,0.00,43.01,20.12,105
19129489,7.91,17.17,34.41,19.83,106
19130946,14.54,44.28,0.00,19.61,107
19141798,11.48,47.29,0.00,19.59,108
19109973,4.59,52.41,0.00,19.00,109
19116110,10.20,31.93,12.90,18.35,110
19115672,7.40,18.07,26.16,17.21,111
19144734,7.40,43.37,0.00,16.92,112
19106027,7.40,25.60,17.20,16.73,113
19110047,0.00,29.22,17.20,15.47,114
19128535,25.00,12.05,8.96,15.34,115
19106640,0.00,31.33,8.96,13.43,116
19128195,16.07,21.99,0.00,12.69,117
19130712,23.47,4.82,6.09,11.46,118
19102622,7.40,6.93,14.34,9.55,119
19141335,0.00,26.51,0.00,8.84,120
19114353,10.20,0.00,0.00,3.40,121
